country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
Cameroon,Sub-Saharan Africa,Africa,country,4.6125522,13.1535811,89050,2018,25216261,3.53,0,0.27,0.22,0,0,0.51,0,0,0,0,0,1,0
Democratic Republic of the Congo,Sub-Saharan Africa,Africa,country,-2.9814344,23.8222636,58700,2018,84068092,0.7,0,0,0,0,0,1,0,0,0,0,0,1,0
Republic of the Congo,Sub-Saharan Africa,Africa,country,-0.7264327,15.6419155,9370,2018,5244363,1.79,0,0.02,0.54,0,0,0.3,0,0.14,0,0,0,1,0
Colombia,South America,South America,country,4.099917,-72.9088133,184100,2018,49661056,3.71,0.04,0.03,0.14,0,0,0.78,0,0,0,0.02,0,1,0
Comoros,Sub-Saharan Africa,Africa,country,-12.2045176,44.2832964,590,2018,832322,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Cabo Verde,Sub-Saharan Africa,Africa,country,16.0000552,-24.0083947,830,2018,543764,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Costa Rica,Central America,North America,country,10.2735633,-84.0739102,15810,2018,4999443,3.16,0,0,0,0,0,0.77,0.1,0,0.11,0.02,0,1,0
Cuba,Caribbean,North America,country,23.0131338,-80.8328748,41860,2018,11338146,3.69,0,0.59,0.14,0.24,0,0,0,0,0,0.03,0,1,0
Cayman Islands,Caribbean,North America,country,19.70318225,-79.91746272,0,1985,19460, -   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Cyprus,Middle East,Asia,country,34.9823018,33.1451285,8600,2018,1189262,7.23,0,0.91,0,0,0,0,0,0.03,0.04,0.01,0,1,0
Czech Republic,Central Europe and Baltics,Europe,country,49.8167003,15.4749544,122840,2018,10629928,11.56,0.51,0,0.04,0,0.33,0.02,0,0.03,0.01,0.06,0,1,0
Germany,Central Europe and Baltics,Europe,country,51.0834196,10.4234469,806090,2018,82905782,9.72,0.39,0.01,0.14,0,0.12,0.03,0,0.06,0.16,0.09,0,1,0
Djibouti,Sub-Saharan Africa,Africa,country,11.8145966,42.8453061,1480,2018,958923,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Dominica,Caribbean,North America,country,19.0974031,-70.3028026,240,2018,71626,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Denmark,Nordic Countries,Europe,country,55.670249,10.3333283,45870,2018,5793636,7.92,0.2,0.01,0.06,0,0,0,0,0.02,0.48,0.23,0,1,0
Dominican Republic,Caribbean,North America,country,19.0974031,-70.3028026,39060,2018,10627147,3.68,0.13,0.43,0.29,0,0,0.12,0,0.01,0.02,0.01,0,1,0
Algeria,North Africa,Africa,country,28.0000272,2.9999825,218910,2018,42228415,5.18,0,0,0.99,0,0,0,0,0.01,0,0,0,1,0
Ecuador,South America,South America,country,-1.3397668,-79.3666965,65680,2018,17084359,3.84,0,0.2,0.1,0,0,0.69,0,0,0,0.02,0,1,0
Egypt,North Africa,Africa,country,26.2540493,29.2675469,329220,2018,98423602,3.34,0,0.13,0.78,0,0,0.07,0,0,0.01,0,0,1,0
Eritrea,Sub-Saharan Africa,Africa,country,15.9500319,37.9999668,7480,2018,0,#DIV/0!,0,1,0,0,0,0,0,0,0,0,0,1,0
Spain,Western Europe,Europe,country,39.3260685,-4.8379791,326940,2018,46797754,6.99,0.17,0.06,0.23,0,0.21,0.07,0,0.03,0.18,0.05,0,1,0
Estonia,Central Europe and Baltics,Europe,country,58.7523778,25.3319078,18610,2018,1321977,14.08,0.06,0.01,0,0.78,0,0,0,0,0.06,0.09,0,1,0
Ethiopia,Sub-Saharan Africa,Africa,country,10.2116702,38.6521203,172230,2018,109224410,1.58,0,0,0,0,0,0.93,0,0.01,0.06,0,0,1,0
Finland,Nordic Countries,Europe,country,63.2467777,25.9209164,54490,2018,5515525,9.88,0.1,0,0.05,0.04,0.33,0.22,0,0,0.07,0.18,0.01,1,0
Fiji,Oceania,Oceania,country,-18.1239696,179.0122737,2820,2018,883490,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
France,Western Europe,Europe,country,46.603354,1.8883335,423350,2018,67101930,6.31,0.03,0.01,0.07,0,0.72,0.09,0,0.02,0.04,0.02,0,1,0
"Micronesia, Fed. Sts.",Oceania,Oceania,country,NA,NA,260,2017,111461,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Gabon,Sub-Saharan Africa,Africa,country,-0.8999695,11.6899699,7460,2018,2119275,3.52,0,0.09,0.51,0,0,0.39,0,0,0,0,0,1,0
United Kingdom,Western Europe,Europe,country,54.7023545,-3.2765753,452080,2018,66460344,6.8,0.07,0,0.41,0,0.21,0.02,0,0.03,0.15,0.11,0,1,0
Georgia,"Eastern Europe, Balkans, Caucasus",Europe,country,32.3293809,-83.1137366,16900,2018,3726549,4.54,0,0,0.19,0,0,0.8,0,0,0.01,0,0,1,0
Ghana,Sub-Saharan Africa,Africa,country,8.0300284,-1.0800271,44500,2018,29767108,1.49,0,0,0.46,0.14,0,0.4,0,0,0,0,0,1,0
Gibraltar,Western Europe,Europe,country,36.140807,-5.3541295,101,1980,30068,3.37,0,1,0,0,0,0,0,0,0,0,0,1,0
Guinea,Sub-Saharan Africa,Africa,country,10.7226226,-10.7083587,28890,2018,12414292,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
The Gambia,Sub-Saharan Africa,Africa,country,13.470062,-15.4900464,2790,2018,2280092,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Guinea-Bissau,Sub-Saharan Africa,Africa,country,12.100035,-14.9000214,2800,2018,1874304,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Equatorial Guinea,Sub-Saharan Africa,Africa,country,1.613172,10.5170357,19270,2018,1308966,14.72,0,0,0.68,0,0,0.32,0,0,0,0,0,1,0
Greece,"Eastern Europe, Balkans, Caucasus",Europe,country,38.9953683,21.9877132,84750,2018,10732882,7.9,0.34,0.1,0.31,0,0,0.07,0,0.07,0.1,0.01,0,1,0
Grenada,Caribbean,North America,country,12.1360374,-61.6904045,2360,2018,111449,21.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Guatemala,Central America,North America,country,15.6871007,-90.12265453,35400,2018,16346950,2.17,0.26,0.03,0,0,0,0.45,0.02,0.02,0.02,0.19,0,1,0
Guam,Oceania,Oceania,country,13.4501257,144.757551,60,1989,127525,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Guyana,South America,South America,country,4.8417097,-58.6416891,5040,2018,779007,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Hong Kong,East Asia,Asia,country,22.2793278,114.1628131,36449,1989,5686200,6.41,0.63,0.01,0.36,0,0,0,0,0,0,0,0,1,0
Honduras,Central America,North America,country,15.2572432,-86.0755145,22400,2018,9587523,2.34,0.06,0.36,0,0,0,0.33,0.01,0.1,0.06,0.08,0,1,0
