country,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,total,missing
El Salvador,Central America,North America,country,13.8000382,-88.9140683,12350,2018,6420740,1.92,0,0.26,0,0,0,0.3,0.29,0.03,0,0.13,0,1,0
Somalia,Sub-Saharan Africa,Africa,country,8.3676771,49.083416,26970,2018,15008225,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Serbia,"Eastern Europe, Balkans, Caucasus",Europe,country,44.1534121,20.55144,75600,1998,7567745,9.99,0.73,0,0.02,0,0,0.25,0,0,0,0,0,1,0
South Sudan,Sub-Saharan Africa,Africa,country,7.8699431,29.6667897,46690,1998,5661934,8.25,0,0.99,0,0,0,0,0,0.01,0,0,0,1,0
São Tomé and Principe,Sub-Saharan Africa,Africa,country,0.8875498,6.9648718,190,2018,211032,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Suriname,South America,South America,country,4.1413025,-56.0771187,3780,2018,575987,6.56,0,0.4,0,0,0,0.6,0,0,0,0,0,1,0
Slovak Republic,Central Europe and Baltics,Europe,country,48.7411522,19.4528646,39930,2018,5446771,7.33,0.13,0.02,0.06,0,0.55,0.16,0,0.02,0,0.06,0.01,1,0
Slovenia,Central Europe and Baltics,Europe,country,45.8133113,14.4808369,17170,2018,2073894,8.28,0.3,0,0.03,0,0.39,0.24,0,0.02,0,0.02,0,1,0
Sweden,Nordic Countries,Europe,country,59.6749712,14.5208584,46350,2018,10175214,4.56,0.01,0,0,0,0.4,0.4,0,0,0.11,0.08,0,1,0
Eswatini,Sub-Saharan Africa,Africa,country,-26.5624806,31.3991317,3120,2018,1136274,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Seychelles,Sub-Saharan Africa,Africa,country,-4.6574977,55.4540146,780,2018,96762,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Syrian Arab Republic,Middle East,Asia,country,34.6401861,39.0494106,47540,2017,17095669,2.78,0,0.38,0.58,0,0,0.04,0,0,0,0,0,1,0
Turks and Caicos Islands,Caribbean,North America,country,21.7214683,-71.6201783,2,1989,11550,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Chad,Sub-Saharan Africa,Africa,country,15.6134137,19.0156172,80680,2018,15477727,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Togo,Sub-Saharan Africa,Africa,country,8.7800265,1.0199765,8420,2018,7889095,1.07,0,0.09,0,0,0,0.88,0,0,0,0.02,0,1,0
Thailand,Southeast Asia,Asia,country,14.8971921,100.83273,416950,2018,69428454,6.01,0.19,0,0.64,0,0,0.05,0,0.02,0.01,0.08,0,1,0
Tajikistan,Central Asia,Asia,country,38.6281733,70.8156541,15210,2018,9100847,1.67,0.05,0,0,0,0,0.95,0,0,0,0,0,1,0
Turkmenistan,Central Asia,Asia,country,39.3763807,59.3924609,125080,2018,5850902,21.38,0,0,1,0,0,0,0,0,0,0,0,1,0
Timor-Leste,Southeast Asia,Asia,country,-8.5151979,125.8375756,6190,2018,1267975,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Tonga,Oceania,Oceania,country,-19.9160819,-175.202642,350,2018,103199,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Trinidad and Tobago,Caribbean,North America,country,10.8677845,-60.9821067,15970,2000,1267159,12.6,0,0,1,0,0,0,0,0,0,0,0,1,0
Tunisia,North Africa,Africa,country,33.8439408,9.400138,41100,2018,11565203,3.55,0,0,0.96,0,0,0,0,0.01,0.02,0,0.01,1,0
Turkey,Middle East,Asia,country,38.9597594,34.9249653,502520,2018,82340090,6.1,0.33,0,0.37,0,0,0.2,0.02,0.01,0.06,0.01,0,1,0
Tuvalu,Oceania,Oceania,country,-8.6405212,179.1582918,30,2018,11505,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Tanzania,Sub-Saharan Africa,Africa,country,-6.5247123,35.7878438,105380,2018,56313444,1.87,0,0.17,0.53,0,0,0.29,0,0,0,0,0,1,0
Uganda,Sub-Saharan Africa,Africa,country,1.5333554,32.2166578,54870,2018,42729032,1.28,0,0.06,0,0,0,0.83,0,0.01,0,0.1,0,1,0
Ukraine,"Eastern Europe, Balkans, Caucasus",Europe,country,49.4871968,31.2718321,274510,2018,44622518,6.15,0.32,0.01,0.05,0,0.55,0.06,0,0,0.01,0,0,1,0
Uruguay,South America,South America,country,-32.8755548,-56.0201525,36160,2018,3449290,10.48,0,0.01,0,0,0,0.55,0,0.02,0.28,0.14,0,1,0
United States,North America,North America,country,39.7837304,-100.445882,6023620,2018,326838199,18.43,0.31,0.01,0.31,0,0.2,0.07,0,0.02,0.06,0.02,0,1,0
Uzbekistan,Central Asia,Asia,country,41.32373,63.9528098,235510,2018,32956100,7.15,0.04,0,0.82,0,0,0.14,0,0,0,0,0,1,0
St. Vincent and the Grenadines,Caribbean,North America,country,12.90447,-61.2765569,370,2018,110210,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Venezuela,South America,North America,country,8.0018709,-66.1109318,233920,2018,28887117,8.1,0,0.13,0.26,0,0,0.61,0,0,0,0,0,1,0
British Virgin Islands,Caribbean,North America,country,18.4024395,-64.5661642,72,1988,16155,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Virgin Islands (U.S.),Caribbean,North America,country,17.7289564,-64.75901598,45,1989,101041,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Vietnam,Southeast Asia,Asia,country,13.2904027,108.4265113,376530,2018,95545959,3.94,0.34,0,0.21,0,0,0.45,0,0,0,0,0,1,0
Vanuatu,Oceania,Oceania,country,-16.5255069,168.1069154,870,2018,292675,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Samoa,Oceania,Oceania,country,-13.7693895,-172.12005,690,2018,196128,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yemen,Middle East,Asia,country,16.3471243,47.8915271,21760,2018,28498683,0.76,0,0.51,0.36,0,0,0,0,0.14,0,0,0,1,0
South Africa,Sub-Saharan Africa,Africa,country,-28.8166236,24.991639,503110,2012,52832659,9.52,0.9,0,0,0,0.06,0,0,0.01,0.02,0,0,1,0
Zambia,Sub-Saharan Africa,Africa,country,-14.5189121,27.5589884,40670,2018,17351714,2.34,0.09,0.05,0,0,0,0.86,0,0,0,0,0,1,0
Zimbabwe,Sub-Saharan Africa,Africa,country,-18.4554963,29.7468414,31380,2018,14438812,2.17,0.45,0.01,0,0,0,0.53,0,0,0,0.02,0,1,0
Oceania,Oceania,Oceania,region,-18.3128,138.5156,726365,NA,41423017,17.54,0.54,0.02,0.19,0,0,0.14,0.03,0.03,0.05,0.01,0,1,0
Southeast Asia,Southeast Asia,Asia,region,6.200528638,111.9316316,2560970,NA,653468148,3.92,0.38,0.03,0.36,0,0,0.18,0.02,0.01,0,0.02,0,1,0
East Asia,East Asia,Asia,region,35.94157297,108.1617286,14392416,NA,1615545126,8.91,0.62,0.01,0.09,0,0.05,0.15,0,0.02,0.04,0.02,0,1,0
"Eastern Europe, Balkans, Caucasus","Eastern Europe, Balkans, Caucasus",Europe,region,46.95326225,32.53378389,3421360,NA,275627098,12.41,0.21,0.01,0.4,0,0.2,0.16,0,0.01,0.01,0,0,1,0
Western Europe,Western Europe,Europe,region,45.91837537,-1.554999307,1632531,NA,224872002,7.26,0.1,0.02,0.25,0,0.39,0.06,0,0.02,0.11,0.05,0,1,0
Central Europe and Baltics,Central Europe and Baltics,Europe,region,50.40488931,15.84475111,2008610,NA,233150929,8.62,0.34,0.01,0.19,0.01,0.11,0.1,0,0.05,0.1,0.08,0,1,0
Middle East,Middle East,Asia,region,31.42122012,47.78259843,2974920,NA,327920851,9.07,0.08,0.12,0.64,0.07,0.01,0.05,0,0,0.01,0,0,1,0
Nordic Countries,Nordic Countries,Europe,region,61.3291098,16.48137439,197490,NA,27149012,7.27,0.03,0,0.02,0.01,0.2,0.55,0.01,0,0.09,0.08,0,1,0
North America,North America,North America,region,51.0000002,-109,7428430,NA,490094159,15.16,0.27,0.01,0.3,0,0.18,0.14,0,0.01,0.06,0.02,0,1,0
Central Asia,Central Asia,Asia,region,39.4009215,72.8676621,668140,NA,72507101,9.21,0.34,0,0.42,0,0,0.23,0,0,0,0,0,1,0
Caribbean,Caribbean,North America,region,18.4,-75,131502,NA,42278280,3.11,0.04,0.44,0.35,0.09,0,0.05,0,0,0.01,0.02,0,1,0
South America,South America,South America,region,-21.0002179,-61.0006565,2238880,NA,423428278,5.29,0.05,0.05,0.2,0,0.02,0.58,0,0,0.04,0.06,0,1,0
Central America,Central America,North America,region,13.19631924,-87.06188084,124600,NA,48380097,2.58,0.08,0.19,0,0,0,0.49,0.07,0.03,0.06,0.09,0,1,0
North Africa,North Africa,Africa,region,30.39814988,9.698685617,786560,NA,194924874,4.04,0.05,0.12,0.76,0,0,0.04,0,0,0.02,0,0,1,0
Sub-Saharan Africa,Sub-Saharan Africa,Africa,region,-2.897330082,26.62074812,2340620,NA,1065506110,2.2,0.52,0.05,0.12,0.01,0.03,0.23,0.01,0.01,0.01,0.01,0,1,0
South Asia,South Asia,Asia,region,25.57231535,80.91765645,4194440,NA,1814354906,2.31,0.65,0.04,0.1,0,0.03,0.1,0,0.02,0.03,0.03,0,1,0
Asia,NA,Asia,continent,51.2086975,89.2343748,24790886,NA,4483796132,5.53,0.3,0.03,0.34,0,0.14,0.1,0.01,0.02,0.04,0.02,0,1,0
Europe,NA,Europe,continent,51,10,7259991,NA,760799041,9.54,0.4,0.03,0.19,0.01,0.08,0.19,0,0.02,0.06,0.03,0,1,0
North America,NA,North America,continent,33.28968209,-95.49168961,7918452,NA,609639653,12.99,0.15,0.07,0.3,0,0.02,0.32,0,0.02,0.06,0.06,0,1,0
South America,NA,South America,continent,-21.0002179,-61.0006565,2004960,NA,394541161,5.08,0.13,0.02,0.48,0,0.21,0.12,0,0.01,0.03,0.01,0,1,0
Africa,NA,Africa,continent,11.5024338,17.7578122,3127180,NA,1260430984,2.48,0.53,0.02,0.13,0.01,0.06,0.16,0,0.02,0.04,0.02,0,1,0
Oceania,NA,Oceania,continent,-18.3128,138.5156,726365,NA,41423017,17.54,0.54,0.02,0.19,0,0,0.14,0.03,0.03,0.05,0.01,0,1,0
World,World,World,world,0,0,45827834,NA,7550629988,6.07,0.38,0.03,0.23,0.01,0.1,0.16,0,0.02,0.04,0.02,0,1,0
