name,region,continent,level,lat,lon,ghg,source_year,population,ghgpc,coal,oil,ng,otherfos,nuclear,hydro,geothermal,pv,wind,otherren,other,Agriculture 2016,Land-use change and forestry 2016,Waste 2016,Industry 2016,Manufacturing and construction 2016,Transport 2016,Electricity and heat 2016,Buildings 2016,Fugitive emissions 2016,Other fuel combustion 2016,Aviation and shipping 2016,Agriculture 2016 2017,Land-use change and forestry 2016 2017,Waste 2016 2017,Industry 2016 2017,Manufacturing and construction 2016 2017,Transport 2016 2017,Electricity and heat 2016 2017,Buildings 2016 2017,Fugitive emissions 2016 2017,Other fuel combustion 2016 2017,Aviation and shipping 2016 2017,Agriculture 2016 2017 2018,Land-use change and forestry 2016 2017 2018,Waste 2016 2017 2018,Industry 2016 2017 2018,Manufacturing and construction 2016 2017 2018,Transport 2016 2017 2018,Electricity and heat 2016 2017 2018,Buildings 2016 2017 2018,Fugitive emissions 2016 2017 2018,Other fuel combustion 2016 2017 2018,Aviation and shipping 2016 2017 2018,,
Burundi,Sub-Saharan Africa,Africa,country,-3.426449,29.9324519,5520,2018,11175379,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2810000,3500000,400000,390000,0,380000,20000,20000,0,740000,10000,3290000,3490000,410000,430000,0,440000,70000,20000,0,740000,10000,3330000,3480000,420000,460000,0,460000,70000,20000,0,750000,20000,,
Belgium,Western Europe,Europe,country,50.6402809,4.6667145,108750,2018,11427054,9.52,0.03,0,0.27,0,0.49,0,0,0.04,0.08,0.08,0.01,9590000,160000,1210000,5960000,19460000,25800000,21990000,22890000,570000,2900000,25700000,9320000,160000,1160000,5580000,18660000,25210000,22110000,22700000,570000,2940000,28860000,9400000,160000,1110000,5350000,19220000,25310000,22470000,22410000,570000,2920000,34940000,,
Benin,Sub-Saharan Africa,Africa,country,9.5293472,2.2584408,17380,2018,11485035,1.51,0,0.56,0.42,0,0,0,0,0.02,0,0,0,5240000,10720000,230000,1530000,400000,5800000,190000,110000,0,2600000,110000,5150000,10740000,240000,1610000,330000,5990000,200000,100000,0,2640000,100000,5580000,10740000,250000,1700000,120000,6750000,170000,130000,0,2690000,100000,,
Burkina Faso,Sub-Saharan Africa,Africa,country,12.0753083,-1.6880314,30850,2018,19751466,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22860000,24100000,1070000,1060000,770000,1770000,580000,270000,0,1280000,70000,23050000,24100000,1100000,1160000,790000,2080000,790000,290000,0,1300000,90000,23010000,24100000,1130000,1260000,830000,2190000,830000,300000,0,1310000,90000,,
Bangladesh,South Asia,Asia,country,24.4769288,90.2934413,198970,2018,161376713,1.23,0.01,0.18,0.79,0,0,0.01,0,0,0,0,0,83470000,21760000,20110000,3050000,14760000,9810000,36260000,9040000,1400000,5600000,1440000,86720000,21750000,20380000,3510000,17350000,10940000,37050000,9620000,1410000,5440000,1550000,88530000,21780000,20640000,3970000,17720000,12010000,38870000,9820000,1410000,6010000,1680000,,
Bulgaria,"Eastern Europe, Balkans, Caucasus",Europe,country,42.6073975,25.4856617,53330,2018,7025037,7.59,0.47,0.01,0.04,0,0.35,0.06,0,0.03,0.03,0.01,0,5280000,-33800000,4040000,2750000,3730000,9090000,26130000,1170000,1030000,1070000,880000,5310000,-33800000,3990000,2690000,4390000,9230000,27540000,1200000,1020000,1070000,970000,5260000,-33810000,3940000,2600000,4790000,9440000,24190000,1020000,1010000,1090000,1020000,,
Bahrain,Middle East,Asia,country,26.1551249,50.5344606,48950,2018,1569440,31.19,0,0,1,0,0,0,0,0,0,0,0,30000,0,11640000,3260000,2120000,3630000,23640000,260000,2490000,90000,1600000,30000,0,11960000,3570000,1950000,3740000,23870000,270000,2470000,90000,1650000,50000,0,12280000,3870000,2170000,3850000,23900000,270000,2460000,90000,1770000,,
Bahamas,Caribbean,North and Central America,country,24.7736546,-78.0000547,2440,2008,343680,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,30000,210000,70000,210000,370000,1240000,350000,0,80000,210000,40000,70000,210000,80000,180000,480000,1210000,250000,0,90000,370000,30000,10000,210000,80000,190000,510000,1270000,270000,0,90000,390000,,
Bosnia and Herzegovina,"Eastern Europe, Balkans, Caucasus",Europe,country,44.3053476,17.5961467,27190,2018,3323929,8.18,0.75,0,0,0,0,0.24,0,0,0,0,0,2750000,-1740000,1130000,510000,2050000,3610000,15000000,1330000,710000,120000,30000,2720000,-1730000,1120000,500000,2180000,3770000,15310000,1030000,710000,130000,30000,2570000,-1730000,1120000,500000,2390000,3740000,15160000,820000,700000,200000,20000,,
Belarus,"Eastern Europe, Balkans, Caucasus",Europe,country,53.4250605,27.6971358,88140,2018,9438785,9.34,0,0.01,0.97,0,0,0.01,0,0,0,0.01,0,20170000,-21340000,6360000,2710000,4500000,10810000,30790000,4880000,1040000,2310000,370000,20670000,-21450000,6430000,2730000,4640000,11270000,30920000,4910000,1050000,2570000,390000,20460000,-21460000,6500000,2730000,4740000,11860000,33160000,4940000,1060000,2690000,440000,,
